"","id","stat","approx","df1","df2","p.value"
"1","Wilks",0.250723087825108,1.63624562666692,25,90.6579659155369,0.0482056872900712
"2","Wilks",0.503576826037196,1.21182476324642,16,77.0138877408571,0.278744994127813
"3","Wilks",0.686241972162226,1.17919354935284,9,63.4277739288924,0.323665131207142
"4","Wilks",0.900051534168386,0.72984207487974,4,54,0.575525743413485
"5","Wilks",0.979573906883266,0.583856514806812,1,28,0.451196163894554
